alias,value,unit,notes
spline_tooth_count,20,count,Standard 20T servo spline
spline_major_d_mm,4.9,mm,Template major diameter
spline_minor_d_mm,3.8,mm,Template minor diameter
spline_hub_thickness_mm,4.0,mm,Template hub thickness
spline_adapter_od_mm,10.0,mm,Adapter outer diameter
spline_bolt_circle_mm,8.0,mm,Adapter bolt circle
spline_bolt_d_mm,2.0,mm,Adapter bolt diameter
flange_od_mm,28.0,mm,Pivot flange outer diameter
flange_id_mm,12.2,mm,Pivot flange inner diameter
flange_thickness_mm,4.5,mm,Pivot flange thickness
flange_bcd_mm,22.0,mm,Pivot flange bolt-circle
flange_hole_count,4,count,Pivot flange hole count
flange_hole_d_mm,3.2,mm,Pivot flange hole diameter
servo_mount_width_mm,28.0,mm,Servo mount width
servo_mount_height_mm,32.0,mm,Servo mount height
servo_mount_thickness_mm,3.0,mm,Servo mount thickness
servo_hole_pitch_x_mm,23.0,mm,Servo hole pitch X
servo_hole_pitch_y_mm,10.0,mm,Servo hole pitch Y
servo_hole_d_mm,2.2,mm,Servo hole diameter
servo_axis_offset_mm,8.0,mm,Servo axis offset
ra_leg_a_mm,30.0,mm,Right-angle mount leg A
ra_leg_b_mm,24.0,mm,Right-angle mount leg B
ra_thickness_mm,3.0,mm,Right-angle thickness
ra_gusset_thickness_mm,2.5,mm,Right-angle gusset
ra_hole_d_mm,2.2,mm,Right-angle hole diameter
ra_hole_pitch_mm,12.0,mm,Right-angle hole pitch
lever_length_mm,25.0,mm,Actuation lever length
lever_width_mm,8.0,mm,Actuation lever width
lever_thickness_mm,3.0,mm,Actuation lever thickness
lever_hub_d_mm,10.0,mm,Actuation lever hub diameter
lever_hub_thickness_mm,4.0,mm,Actuation lever hub thickness
lever_tip_hole_d_mm,2.0,mm,Actuation lever tip hole
