configuration,mode,slope_deg,ankle_demand_mult,reachability_margin_pct,reflected_inertia_penalty,energy_per_gait_cycle_j,torque_req_nm,torque_margin_overall_nm,torque_margin_hip,torque_margin_knee,torque_margin_ankle,derate_hip,derate_knee,derate_ankle,status
tapered,real_sim_size_derate,35.0,1.5,100.0,0.00011701,1.7577,2.1894,26.3506,189.8106,76.9769,26.3506,0.6,0.56,0.5,PASS
uniform_ae070,real_sim_size_derate,35.0,1.5,100.0,0.00010792,1.6522,2.1894,76.2106,76.2106,76.9769,77.2506,0.56,0.56,0.56,PASS
hybrid_a,real_sim_size_derate,35.0,1.5,100.0,0.00013148,1.9258,2.1894,50.5256,189.8106,76.9769,50.5256,0.6,0.56,0.53,PASS
hybrid_b,real_sim_size_derate,35.0,1.5,100.0,0.00014596,2.0938,2.1894,76.9769,189.8106,76.9769,77.2506,0.6,0.56,0.56,PASS
tapered,real_sim_size_derate,35.0,1.7,100.0,0.00011701,1.7577,2.1894,26.1973,189.8106,76.9769,26.1973,0.6,0.56,0.5,PASS
uniform_ae070,real_sim_size_derate,35.0,1.7,100.0,0.00010792,1.6522,2.1894,76.2106,76.2106,76.9769,77.0973,0.56,0.56,0.56,PASS
hybrid_a,real_sim_size_derate,35.0,1.7,100.0,0.00013148,1.9258,2.1894,50.3723,189.8106,76.9769,50.3723,0.6,0.56,0.53,PASS
hybrid_b,real_sim_size_derate,35.0,1.7,100.0,0.00014596,2.0938,2.1894,76.9769,189.8106,76.9769,77.0973,0.6,0.56,0.56,PASS
tapered,real_sim_size_derate,35.0,1.9,100.0,0.00011701,1.7577,2.1894,26.044,189.8106,76.9769,26.044,0.6,0.56,0.5,PASS
uniform_ae070,real_sim_size_derate,35.0,1.9,100.0,0.00010792,1.6522,2.1894,76.2106,76.2106,76.9769,76.944,0.56,0.56,0.56,PASS
hybrid_a,real_sim_size_derate,35.0,1.9,100.0,0.00013148,1.9258,2.1894,50.219,189.8106,76.9769,50.219,0.6,0.56,0.53,PASS
hybrid_b,real_sim_size_derate,35.0,1.9,100.0,0.00014596,2.0938,2.1894,76.944,189.8106,76.9769,76.944,0.6,0.56,0.56,PASS
tapered,real_sim_size_derate,45.0,1.5,100.0,0.00011701,1.7577,2.8571,26.0,189.1429,76.5429,26.0,0.6,0.56,0.5,PASS
uniform_ae070,real_sim_size_derate,45.0,1.5,100.0,0.00010792,1.6522,2.8571,75.5429,75.5429,76.5429,76.9,0.56,0.56,0.56,PASS
hybrid_a,real_sim_size_derate,45.0,1.5,100.0,0.00013148,1.9258,2.8571,50.175,189.1429,76.5429,50.175,0.6,0.56,0.53,PASS
hybrid_b,real_sim_size_derate,45.0,1.5,100.0,0.00014596,2.0938,2.8571,76.5429,189.1429,76.5429,76.9,0.6,0.56,0.56,PASS
tapered,real_sim_size_derate,45.0,1.7,100.0,0.00011701,1.7577,2.8571,25.8,189.1429,76.5429,25.8,0.6,0.56,0.5,PASS
uniform_ae070,real_sim_size_derate,45.0,1.7,100.0,0.00010792,1.6522,2.8571,75.5429,75.5429,76.5429,76.7,0.56,0.56,0.56,PASS
hybrid_a,real_sim_size_derate,45.0,1.7,100.0,0.00013148,1.9258,2.8571,49.975,189.1429,76.5429,49.975,0.6,0.56,0.53,PASS
hybrid_b,real_sim_size_derate,45.0,1.7,100.0,0.00014596,2.0938,2.8571,76.5429,189.1429,76.5429,76.7,0.6,0.56,0.56,PASS
tapered,real_sim_size_derate,45.0,1.9,100.0,0.00011701,1.7577,2.8571,25.6,189.1429,76.5429,25.6,0.6,0.56,0.5,PASS
uniform_ae070,real_sim_size_derate,45.0,1.9,100.0,0.00010792,1.6522,2.8571,75.5429,75.5429,76.5429,76.5,0.56,0.56,0.56,PASS
hybrid_a,real_sim_size_derate,45.0,1.9,100.0,0.00013148,1.9258,2.8571,49.775,189.1429,76.5429,49.775,0.6,0.56,0.53,PASS
hybrid_b,real_sim_size_derate,45.0,1.9,100.0,0.00014596,2.0938,2.8571,76.5,189.1429,76.5429,76.5,0.6,0.56,0.56,PASS
