regolith_mu,internal_mu,gravity_scale,preload_n,margin_45deg,pass_margin
0.45,0.002,0.9,45.0,0.15732412287401318,False
0.45,0.002,0.9,50.0,0.14159171058661185,False
0.45,0.002,0.9,55.00000000000001,0.12871973689691985,False
0.45,0.002,1.0,45.0,0.17480458097112575,False
0.45,0.002,1.0,50.0,0.15732412287401318,False
0.45,0.002,1.0,55.00000000000001,0.1430219298854665,False
0.45,0.002,1.1,45.0,0.19228503906823832,False
0.45,0.002,1.1,50.0,0.1730565351614145,False
0.45,0.002,1.1,55.00000000000001,0.15732412287401315,False
0.45,0.004,0.9,45.0,0.1570088440706585,False
0.45,0.004,0.9,50.0,0.14130795966359264,False
0.45,0.004,0.9,55.00000000000001,0.12846178151235693,False
0.45,0.004,1.0,45.0,0.17445427118962054,False
0.45,0.004,1.0,50.0,0.15700884407065846,False
0.45,0.004,1.0,55.00000000000001,0.14273531279150767,False
0.45,0.004,1.1,45.0,0.19189969830858258,False
0.45,0.004,1.1,50.0,0.17270972847772434,False
0.45,0.004,1.1,55.00000000000001,0.15700884407065846,False
0.45,0.01,0.9,45.0,0.15606300766059428,False
0.45,0.01,0.9,50.0,0.14045670689453485,False
0.45,0.01,0.9,55.00000000000001,0.12768791535866802,False
0.45,0.01,1.0,45.0,0.17340334184510475,False
0.45,0.01,1.0,50.0,0.15606300766059428,False
0.45,0.01,1.0,55.00000000000001,0.14187546150963112,False
0.45,0.01,1.1,45.0,0.19074367602961523,False
0.45,0.01,1.1,50.0,0.1716693084266537,False
0.45,0.01,1.1,55.00000000000001,0.15606300766059425,False
0.55,0.002,0.9,45.0,0.19228503906823838,False
0.55,0.002,0.9,50.0,0.17305653516141456,False
0.55,0.002,0.9,55.00000000000001,0.1573241228740132,False
0.55,0.002,1.0,45.0,0.21365004340915375,False
0.55,0.002,1.0,50.0,0.19228503906823838,False
0.55,0.002,1.0,55.00000000000001,0.17480458097112578,False
0.55,0.002,1.1,45.0,0.23501504775006915,False
0.55,0.002,1.1,50.0,0.21151354297506222,False
0.55,0.002,1.1,55.00000000000001,0.19228503906823835,False
0.55,0.004,0.9,45.0,0.1918996983085826,False
0.55,0.004,0.9,50.0,0.17270972847772437,False
0.55,0.004,0.9,55.00000000000001,0.1570088440706585,False
0.55,0.004,1.0,45.0,0.21322188700953623,False
0.55,0.004,1.0,50.0,0.1918996983085826,False
0.55,0.004,1.0,55.00000000000001,0.17445427118962054,False
0.55,0.004,1.1,45.0,0.23454407571048988,False
0.55,0.004,1.1,50.0,0.21108966813944088,False
0.55,0.004,1.1,55.00000000000001,0.19189969830858258,False
0.55,0.01,0.9,45.0,0.19074367602961523,False
0.55,0.01,0.9,50.0,0.1716693084266537,False
0.55,0.01,0.9,55.00000000000001,0.15606300766059425,False
0.55,0.01,1.0,45.0,0.2119374178106836,False
0.55,0.01,1.0,50.0,0.19074367602961523,False
0.55,0.01,1.0,55.00000000000001,0.17340334184510472,False
0.55,0.01,1.1,45.0,0.23313115959175196,False
0.55,0.01,1.1,50.0,0.20981804363257678,False
0.55,0.01,1.1,55.00000000000001,0.1907436760296152,False
0.65,0.002,0.9,45.0,0.22724595526246355,False
0.65,0.002,0.9,50.0,0.20452135973621718,False
0.65,0.002,0.9,55.00000000000001,0.1859285088511065,False
0.65,0.002,1.0,45.0,0.2524955058471817,False
0.65,0.002,1.0,50.0,0.22724595526246355,False
0.65,0.002,1.0,55.00000000000001,0.206587232056785,False
0.65,0.002,1.1,45.0,0.2777450564318999,False
0.65,0.002,1.1,50.0,0.2499705507887099,False
0.65,0.002,1.1,55.00000000000001,0.2272459552624635,False
0.65,0.004,0.9,45.0,0.22679055254650668,False
0.65,0.004,0.9,50.0,0.204111497291856,False
0.65,0.004,0.9,55.00000000000001,0.18555590662895996,False
0.65,0.004,1.0,45.0,0.2519895028294519,False
0.65,0.004,1.0,50.0,0.22679055254650668,False
0.65,0.004,1.0,55.00000000000001,0.2061732295877333,False
0.65,0.004,1.1,45.0,0.27718845311239704,False
0.65,0.004,1.1,50.0,0.24946960780115734,False
0.65,0.004,1.1,55.00000000000001,0.22679055254650662,False
0.65,0.01,0.9,45.0,0.22542434439863615,False
0.65,0.01,0.9,50.0,0.20288190995877253,False
0.65,0.01,0.9,55.00000000000001,0.18443809996252047,False
0.65,0.01,1.0,45.0,0.25047149377626243,False
0.65,0.01,1.0,50.0,0.22542434439863618,False
0.65,0.01,1.0,55.00000000000001,0.2049312221805783,False
0.65,0.01,1.1,45.0,0.2755186431538887,False
0.65,0.01,1.1,50.0,0.24796677883849982,False
0.65,0.01,1.1,55.00000000000001,0.22542434439863615,False
