requirement_id,spec_section,test_name,analysis_script,result_file,status
REQ-MOB-002,docs/system_spec.md#4,slope_rescue_sweep,results/GPT/Robotics/weevil_lunar_tests.py,results/GPT/Robotics/weevil_lunar_test_results.md,partial-pass
REQ-FOOT-001,specs/foot_anchoring_spec.md#3,test_twist_settle_gain,results/GPT/Robotics/weevil_lunar_tests.py,results/GPT/Robotics/weevil_lunar_test_results.md,pass
REQ-FOOT-002,specs/foot_anchoring_spec.md#4,test_directional_slope_margin_45deg,results/GPT/Robotics/weevil_lunar_tests.py,results/GPT/Robotics/weevil_lunar_test_results.md,baseline-fail
REQ-FOOT-003,specs/foot_anchoring_spec.md#4,test_directional_slope_margin_45deg,results/GPT/Robotics/weevil_lunar_tests.py,results/GPT/Robotics/weevil_lunar_test_results.md,baseline-fail
REQ-FOOT-002,specs/foot_anchoring_spec.md#6,slope_rescue_sweep,results/GPT/Robotics/weevil_lunar_tests.py,results/GPT/Robotics/mare_rescue_profile.md,pass-in-rescue-envelope
REQ-FOOT-003,specs/foot_anchoring_spec.md#6,slope_rescue_sweep,results/GPT/Robotics/weevil_lunar_tests.py,results/GPT/Robotics/mare_rescue_profile.md,pass-in-rescue-envelope
REQ-FOOT-004,specs/foot_anchoring_spec.md#5,test_sinkage_limit,results/GPT/Robotics/weevil_lunar_tests.py,results/GPT/Robotics/weevil_lunar_test_results.md,pass
REQ-AUTO-001,docs/ops_playbook.md#steep-slope-mode,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-DUST-001,docs/system_spec.md#4,test_dust_ingress_endurance,verification/test_dust_ingress_endurance.py,verification/reports/dust_ingress_endurance.md,pass
REQ-THERM-001,docs/system_spec.md#4,test_thermal_vac_cycle,verification/test_thermal_vac_cycle.py,verification/reports/thermal_vac_cycle.md,pass
REQ-ACT-001,specs/actuation_spec.md,test_actuation_bench,verification/test_actuation_bench.py,verification/reports/actuation_bench.md,pass
REQ-ACT-002,specs/actuation_spec.md,test_actuation_bench,verification/test_actuation_bench.py,verification/reports/actuation_bench.md,pass
REQ-ACT-003,specs/actuation_spec.md,test_actuation_bench,verification/test_actuation_bench.py,verification/reports/actuation_bench.md,pass
REQ-ACT-004,specs/actuation_spec.md,test_actuation_bench,verification/test_actuation_bench.py,verification/reports/actuation_bench.md,pass
REQ-AUTO-002,specs/autonomy_spec.md,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-AUTO-003,specs/autonomy_spec.md,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-AUTO-004,specs/autonomy_spec.md,test_autonomy_health_planner,verification/test_autonomy_health_planner.py,verification/reports/autonomy_health_planner.md,pass
REQ-AUTO-005,specs/autonomy_spec.md,test_autonomy_health_planner,verification/test_autonomy_health_planner.py,verification/reports/autonomy_health_planner.md,pass
REQ-COMMS-001,specs/power_comms_spec.md,test_power_comms_profile,verification/test_power_comms_profile.py,verification/reports/power_comms_profile.md,pass
REQ-COMMS-002,specs/power_comms_spec.md,test_power_comms_profile,verification/test_power_comms_profile.py,verification/reports/power_comms_profile.md,pass
REQ-DUST-002,specs/dust_sealing_spec.md,test_dust_ingress_endurance,verification/test_dust_ingress_endurance.py,verification/reports/dust_ingress_endurance.md,pass
REQ-DUST-003,specs/dust_sealing_spec.md,test_dust_ingress_endurance,verification/test_dust_ingress_endurance.py,verification/reports/dust_ingress_endurance.md,pass
REQ-LOCO-001,specs/locomotion_spec.md,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-LOCO-002,specs/locomotion_spec.md,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-LOCO-003,specs/locomotion_spec.md,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-LOCO-004,specs/locomotion_spec.md,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-MOB-001,docs/system_spec.md,test_steep_slope_state_machine,verification/test_steep_slope_state_machine.py,verification/reports/steep_slope_state_machine.md,pass
REQ-PWR-001,specs/power_comms_spec.md,test_power_comms_profile,verification/test_power_comms_profile.py,verification/reports/power_comms_profile.md,pass
REQ-PWR-002,specs/power_comms_spec.md,test_power_comms_profile,verification/test_power_comms_profile.py,verification/reports/power_comms_profile.md,pass
REQ-THERM-002,specs/thermal_spec.md,test_thermal_vac_cycle,verification/test_thermal_vac_cycle.py,verification/reports/thermal_vac_cycle.md,pass
REQ-THERM-003,specs/thermal_spec.md,test_thermal_vac_cycle,verification/test_thermal_vac_cycle.py,verification/reports/thermal_vac_cycle.md,pass
